age,giver,cgift
55,.17280665,12.948708
56,.083044454,14.363448
57,.12518543,20.891031
58,.14109345,14.272441
59,.10014637,11.64909
60,.092741124,22.415871
61,.12514046,15.277055
62,.09818691,25.616899
63,.13655828,20.360342
64,.1306134,21.628033
65,.1078282,16.160814
66,.12046119,24.382639
67,.10386913,7.6420708
68,.16546269,19.933462
69,.1208462,35.104099
70,.19652061,12.635342
71,.032287944,17.667986
72,.031415489,11.591229
73,.063328631,92.040375
74,.016524792,20.348555
75,.1039195,60.399635
76,.11731349,16.249962
77,.16121934,23.616507
78,.12771942,17.044008
79,0,11.67193
80,.16451384,14.544459
81,.11693376,5.2906246
82,0,26.453121
83,.056071125,63.555817
84,.045598172,
85,.19356364,
