xp,vp,xk,vk,wealth,wealth_prnt,prob
1,1,1,1,-14.557256,6.0775399,.14606741
1,1,1,2,-26.154995,-3.3614373,.061797753
1,1,2,1,.68743902,4.5074735,.35393259
1,1,2,2,.6062088,9.6748791,.089887641
1,1,3,1,14.594705,14.70647,.12359551
1,1,3,2,14.195745,4.6130099,.10112359
1,1,4,1,96.688042,11.807188,.044943821
1,1,4,2,98.312569,15.202809,.078651689
1,2,1,1,-12.910507,19.518503,.14285715
1,2,1,2,-16.977137,-4.1170063,.17142858
1,2,2,1,1.4647802,14.508236,.057142857
1,2,2,2,.44619176,7.5852594,.085714288
1,2,3,1,9.8311033,-1.4277285,.11428571
1,2,3,2,13.844687,-5.0679111,.17142858
1,2,4,1,62.227669,13.718193,.057142857
1,2,4,2,76.741615,-6.1618423,.2
2,1,1,1,-25.781445,78.495087,.19191919
2,1,1,2,-16.647753,86.767517,.04040404
2,1,2,1,1.131126,74.856705,.25252524
2,1,2,2,1.0493776,95.493111,.04040404
2,1,3,1,12.473471,80.817757,.1010101
2,1,3,2,16.20532,89.558571,.14141414
2,1,4,1,73.572105,85.838623,.070707068
2,1,4,2,152.47466,92.885849,.16161616
2,2,1,1,-26.830572,99.412537,.1388889
2,2,1,2,-50.543194,98.038368,.083333336
2,2,2,1,.99399316,92.42186,.20833333
2,2,2,2,.12858291,79.623657,.041666668
2,2,3,1,11.16796,112.9899,.069444448
2,2,3,2,14.056882,109.00647,.18055555
2,2,4,1,86.893448,85.98317,.083333336
2,2,4,2,121.53769,76.630165,.19444445
3,1,1,1,-33.229588,217.07935,.14285715
3,1,1,2,-40.565315,222.44547,.071428575
3,1,2,1,1.1967019,239.37125,.089285716
3,1,2,2,.71390682,296.13745,.053571429
3,1,3,1,10.752411,219.87624,.10714286
3,1,3,2,15.69649,229.45131,.125
3,1,4,1,68.241447,245.75363,.125
3,1,4,2,101.67841,261.23178,.2857143
3,2,1,1,-24.479481,265.96503,.12643678
3,2,1,2,-27.87101,235.89857,.13793103
3,2,2,1,.68245095,276.07553,.080459774
3,2,2,2,2.1654246,216.60681,.045977011
3,2,3,1,9.4808979,256.64658,.10344828
3,2,3,2,14.971205,243.69031,.16091955
3,2,4,1,95.841461,242.05304,.080459774
3,2,4,2,92.869583,264.18079,.26436782
4,1,1,1,-10.961531,557.33044,.071428575
4,1,1,2,-11.826092,589.12946,.14285715
4,1,2,1,.76918125,806.88446,.14285715
4,1,2,2,-.71144247,960.30499,.071428575
4,1,3,1,15.483646,780.59198,.10714286
4,1,3,2,19.992874,505.95734,.14285715
4,1,4,1,456.82507,437.71408,.035714287
4,1,4,2,121.7341,845.14838,.2857143
4,2,1,1,-24.950464,1106.0973,.063157894
4,2,1,2,-34.972153,1122.4751,.11578947
4,2,2,1,.82349271,963.56592,.073684208
4,2,2,2,.36553839,1095.5214,.08421053
4,2,3,1,10.841605,1325.7426,.11578947
4,2,3,2,16.755783,825.30487,.18947369
4,2,4,1,142.98621,1711.6257,.042105265
4,2,4,2,144.77066,1199.2589,.31578946
